4,19,Yoda,Shift Lead,4P-10:30P
4,23,Captain America,Laser Tag,9:30A-4:30P
4,26,Mickey Mouse,Shift Lead,12P-8P
4,23,Charlie Beutter,Ropes Course,9A-4:30P
4,18,Harry Potter,Laser Tag,11A-7P
4,30,Yoda,Shift Lead,4P-10:30P
4,25,Yoda,Shift Lead,9:30A-4:30P
4,29,Bob the Builder,Go-Karts,12P-8P
4,23,Charlie Beutter,Shift Lead,9A-4:30P
4,14,Bob the Builder,Go-Karts,11A-7P
4,26,Yoda,Ropes Course,4P-10:30P
4,30,Yoda,Laser Tag,9:30A-4:30P
4,22,John Doe,Go-Karts,12P-8P
4,20,Captain America,Go-Karts,9A-4:30P
4,14,Mickey Mouse,Shift Lead,11A-7P
4,21,John Doe,Go-Karts,4P-10:30P
4,2,Mickey Mouse,Laser Tag,9:30A-4:30P
4,4,Yoda,Shift Lead,12P-8P
4,5,Charlie Beutter,Shift Lead,9A-4:30P
4,5,Yoda,Ropes Course,11A-7P
4,22,Yoda,Ropes Course,4P-10:30P
4,14,Charlie Beutter,Shift Lead,9:30A-4:30P
4,16,Harry Potter,Shift Lead,12P-8P
4,3,John Doe,Go-Karts,9A-4:30P
4,9,Mickey Mouse,Mid,11A-7P
4,12,Harry Potter,Mid,4P-10:30P
4,18,Charlie Beutter,Mid,9:30A-4:30P
4,17,Charlie Beutter,Shift Lead,12P-8P
4,21,Mickey Mouse,Mid,9A-4:30P
4,25,Yoda,Shift Lead,11A-7P
4,14,Harry Potter,Mid,4P-10:30P
4,13,Bob the Builder,Mid,9:30A-4:30P
4,4,Yoda,Shift Lead,12P-8P
4,3,Harry Potter,Go-Karts,9A-4:30P
4,11,Charlie Beutter,Shift Lead,11A-7P
4,11,Mickey Mouse,Mid,4P-10:30P
4,24,Charlie Beutter,Shift Lead,9:30A-4:30P
4,25,Charlie Beutter,Mid,12P-8P
4,8,Charlie Beutter,Ropes Course,9A-4:30P
4,27,John Doe,Mid,11A-7P
4,2,Yoda,Mid,4P-10:30P
4,16,Captain America,Ropes Course,9:30A-4:30P
4,24,Charlie Beutter,Ropes Course,12P-8P
4,6,Captain America,Shift Lead,9A-4:30P
